date,age_group,total_hospitalised,total_icu
2021-08-29,60 to 69,29,4
2021-08-29,70 to 79,22,4
2021-08-29,80 to 89,8,0
2021-08-29,90+,4,0
2021-08-29,Total,161,19
2021-08-30,0 to 9,2,0
2021-08-30,10 to 19,6,1
2021-08-30,20 to 29,11,1
2021-08-30,30 to 39,23,2
2021-08-30,40 to 49,22,3
2021-08-30,50 to 59,36,4
2021-08-30,60 to 69,29,4
2021-08-30,70 to 79,22,4
2021-08-30,80 to 89,8,0
2021-08-30,90+,4,0
2021-08-30,Total,163,19
2021-08-31,0 to 9,2,0
2021-08-31,10 to 19,6,1
2021-08-31,20 to 29,15,1
2021-08-31,30 to 39,25,2
2021-08-31,40 to 49,24,3
2021-08-31,50 to 59,40,4
2021-08-31,60 to 69,32,4
2021-08-31,70 to 79,25,4
2021-08-31,80 to 89,8,0
2021-08-31,90+,4,0
2021-08-31,Total,181,19
2021-09-01,0 to 9,2,0
2021-09-01,10 to 19,6,1
2021-09-01,20 to 29,15,1
2021-09-01,30 to 39,26,2
2021-09-01,40 to 49,25,3
2021-09-01,50 to 59,42,4
2021-09-01,60 to 69,32,4
2021-09-01,70 to 79,26,4
2021-09-01,80 to 89,8,0
2021-09-01,90+,4,0
2021-09-01,Total,186,19
2021-09-02,0 to 9,2,0
2021-09-02,10 to 19,6,1
2021-09-02,20 to 29,16,1
2021-09-02,30 to 39,27,2
2021-09-02,40 to 49,30,3
2021-09-02,50 to 59,43,4
2021-09-02,60 to 69,32,4
2021-09-02,70 to 79,26,4
2021-09-02,80 to 89,8,0
2021-09-02,90+,5,0
2021-09-02,Total,195,19
2021-09-03,0 to 9,2,0
2021-09-03,10 to 19,6,1
2021-09-03,20 to 29,16,1
2021-09-03,30 to 39,27,2
2021-09-03,40 to 49,31,3
2021-09-03,50 to 59,45,4
2021-09-03,60 to 69,32,4
2021-09-03,70 to 79,26,4
2021-09-03,80 to 89,8,0
2021-09-03,90+,5,0
2021-09-03,Total,198,19
2021-09-04,0 to 9,2,0
2021-09-04,10 to 19,6,1
2021-09-04,20 to 29,17,1
2021-09-04,30 to 39,27,2
2021-09-04,40 to 49,34,3
2021-09-04,50 to 59,49,4
2021-09-04,60 to 69,33,4
2021-09-04,70 to 79,27,4
2021-09-04,80 to 89,8,0
2021-09-04,90+,5,0
2021-09-04,Total,208,19
2021-09-05,0 to 9,2,0
2021-09-05,10 to 19,6,1
2021-09-05,20 to 29,18,1
2021-09-05,30 to 39,29,2
2021-09-05,40 to 49,35,3
2021-09-05,50 to 59,51,4
2021-09-05,60 to 69,33,4
2021-09-05,70 to 79,27,4
2021-09-05,80 to 89,8,0
2021-09-05,90+,5,0
2021-09-05,Total,214,19
2021-09-06,0 to 9,2,0
2021-09-06,10 to 19,6,1
2021-09-06,20 to 29,18,1
2021-09-06,30 to 39,29,2
2021-09-06,40 to 49,35,3
2021-09-06,50 to 59,51,4
2021-09-06,60 to 69,33,4
2021-09-06,70 to 79,27,4
2021-09-06,80 to 89,8,0
2021-09-06,90+,5,0
2021-09-06,Total,214,19
2021-09-07,0 to 9,2,0
2021-09-07,10 to 19,6,1
2021-09-07,20 to 29,19,1
2021-09-07,30 to 39,30,2
2021-09-07,40 to 49,37,3
2021-09-07,50 to 59,52,4
2021-09-07,60 to 69,33,4
2021-09-07,70 to 79,27,4
2021-09-07,80 to 89,8,0
2021-09-07,90+,5,0
2021-09-07,Total,219,19
2021-09-08,0 to 9,2,0
2021-09-08,10 to 19,6,1
2021-09-08,20 to 29,20,1
2021-09-08,30 to 39,31,2
2021-09-08,40 to 49,38,3
2021-09-08,50 to 59,52,4
2021-09-08,60 to 69,34,4
2021-09-08,70 to 79,28,4
2021-09-08,80 to 89,8,0
2021-09-08,90+,5,0
2021-09-08,Total,224,19
2021-09-09,0 to 9,2,0
2021-09-09,10 to 19,6,1
2021-09-09,20 to 29,21,1
2021-09-09,30 to 39,31,2
2021-09-09,40 to 49,38,3
2021-09-09,50 to 59,52,4
2021-09-09,60 to 69,34,4
2021-09-09,70 to 79,28,4
2021-09-09,80 to 89,8,0
2021-09-09,90+,5,0
2021-09-09,Total,225,19
2021-09-10,0 to 9,2,0
2021-09-10,10 to 19,6,1
2021-09-10,20 to 29,21,1
2021-09-10,30 to 39,31,2
2021-09-10,40 to 49,39,3
2021-09-10,50 to 59,52,4
2021-09-10,60 to 69,35,4
2021-09-10,70 to 79,28,4
2021-09-10,80 to 89,8,0
2021-09-10,90+,5,0
2021-09-10,Total,227,19
2021-09-11,0 to 9,2,0
2021-09-11,10 to 19,6,1
2021-09-11,20 to 29,21,1
2021-09-11,30 to 39,31,2
2021-09-11,40 to 49,39,3
2021-09-11,50 to 59,53,4
2021-09-11,60 to 69,35,4
2021-09-11,70 to 79,28,4
2021-09-11,80 to 89,8,0
2021-09-11,90+,5,0
2021-09-11,Total,228,19
2021-09-13,0 to 9,3,0
2021-09-13,10 to 19,6,1
2021-09-13,20 to 29,23,1
2021-09-13,30 to 39,33,2
2021-09-13,40 to 49,40,3
2021-09-13,50 to 59,53,4
2021-09-13,60 to 69,35,4
2021-09-13,70 to 79,28,4
2021-09-13,80 to 89,8,0
2021-09-13,90+,5,0
2021-09-13,Total,234,19
2021-09-14,0 to 9,3,0
