date,sex,total_cases,total_cases_hospitalised
2022-03-28,Unknown,693,3
2022-03-28,Total,623984,4683
2022-03-29,Female,335443,2687
2022-03-29,Male,303765,2120
2022-03-29,Unknown,701,3
2022-03-29,Total,639913,4810
2022-03-30,Female,342565,2767
2022-03-30,Male,309963,2178
2022-03-30,Unknown,708,3
2022-03-30,Total,653240,4948
2022-03-31,Female,349841,2827
2022-03-31,Male,316156,2232
2022-03-31,Unknown,727,3
2022-03-31,Total,666728,5062
2022-04-02,Female,360905,2970
2022-04-02,Male,325511,2332
2022-04-02,Unknown,742,3
2022-04-02,Total,687162,5305
2022-04-03,Female,366431,3011
2022-04-03,Male,330185,2354
2022-04-03,Unknown,756,3
2022-04-03,Total,697376,5368
2022-04-04,Female,373925,3056
2022-04-04,Male,336821,2373
2022-04-04,Unknown,761,3
2022-04-04,Total,711511,5432
2022-04-05,Female,380735,3148
2022-04-05,Male,342597,2452
2022-04-05,Unknown,767,3
2022-04-05,Total,724103,5603
2022-04-06,Female,387070,3242
2022-04-06,Male,347901,2543
2022-04-06,Unknown,780,3
2022-04-06,Total,735755,5788
2022-04-08,Female,397104,3363
2022-04-08,Male,356301,2640
2022-04-08,Unknown,803,4
2022-04-08,Total,754212,6007
2022-04-09,Female,400775,3436
2022-04-09,Male,359346,2676
2022-04-09,Unknown,809,4
2022-04-09,Total,760934,6116
2022-04-10,Female,404979,3458
2022-04-10,Male,362732,2698
2022-04-10,Unknown,814,4
2022-04-10,Total,768529,6160
2022-04-11,Female,410792,3512
2022-04-11,Male,367984,2754
2022-04-11,Unknown,828,4
2022-04-11,Total,779608,6270
2022-04-12,Female,415853,3563
2022-04-12,Male,372415,2797
2022-04-12,Unknown,835,4
2022-04-12,Total,789107,6364
2022-04-13,Female,421114,3638
2022-04-13,Male,376715,2847
2022-04-13,Unknown,843,4
2022-04-13,Total,798676,6489
2022-04-14,Female,425341,3717
2022-04-14,Male,380250,2885
2022-04-14,Unknown,847,4
2022-04-14,Total,806442,6606
2022-04-15,Female,428545,3769
2022-04-15,Male,382785,2932
2022-04-15,Unknown,858,4
2022-04-15,Total,812192,6705
2022-04-16,Female,431857,3791
2022-04-16,Male,385399,2961
2022-04-16,Unknown,865,4
2022-04-16,Total,818125,6756
2022-04-17,Female,435474,3829
2022-04-17,Male,388398,2993
2022-04-17,Unknown,870,4
2022-04-17,Total,824746,6826
2022-04-18,Female,439905,3872
2022-04-18,Male,392227,3018
2022-04-18,Unknown,876,4
2022-04-18,Total,833012,6894
2022-04-19,Female,445840,3920
2022-04-19,Male,397497,3059
2022-04-19,Unknown,899,4
2022-04-19,Total,844240,6983
2022-04-20,Female,451368,3991
2022-04-20,Male,402271,3099
2022-04-20,Unknown,902,4
2022-04-20,Total,854545,7094
2022-04-21,Female,456380,4045
2022-04-21,Male,406661,3132
2022-04-21,Unknown,914,4
2022-04-21,Total,863959,7181
2022-04-22,Female,460694,4118
2022-04-22,Male,410269,3184
2022-04-22,Unknown,919,5
2022-04-22,Total,871886,7307
2022-04-23,Female,463841,4181
2022-04-23,Male,412788,3223
2022-04-23,Unknown,922,5
2022-04-23,Total,877555,7409
2022-04-24,Female,467009,4215
2022-04-24,Male,415307,3246
2022-04-24,Unknown,927,5
2022-04-24,Total,883247,7466
2022-04-25,Female,470486,4257
2022-04-25,Male,418192,3262
2022-04-25,Unknown,929,5
2022-04-25,Total,889611,7524
2022-04-26,Female,475739,4331
2022-04-26,Male,422762,3307
2022-04-26,Unknown,931,5
2022-04-26,Total,899436,7643
2022-04-27,Female,480528,4404
2022-04-27,Male,427007,3344
2022-04-27,Unknown,938,5
2022-04-27,Total,908477,7753
2022-04-28,Female,484895,4485
2022-04-28,Male,430892,3390
2022-04-28,Unknown,945,5
2022-04-28,Total,916736,7880
2022-04-29,Female,488736,4538
2022-04-29,Male,434088,3440
2022-04-29,Unknown,949,5
2022-04-29,Total,923777,7983
2022-04-30,Female,491848,4577
2022-04-30,Male,436631,3471
2022-04-30,Unknown,958,5
2022-04-30,Total,929441,8053
2022-05-01,Female,495441,4618
2022-05-01,Male,439668,3493
2022-05-01,Unknown,970,5
2022-05-01,Total,936083,8116
